,text,label_category
21,"Dessert - ca n't be missed , so save room ! ! !","[0, 0, 0, 1, 0, 0]"
22,The bartender on my most recent visit was so incredibly rude that I will never go back .,"[0, 1, 0, 0, 0, 0]"
23,"He asked if we wanted change when we paid him for our pitcher of Sangria we asked for a couple of dollars back ( gave him $ 30 for $ 25 pitcher - still leaving him w $ 3 tip ) he laughed said are you serious , then got us the change put it on the bar asked us if we were from out of town .","[0, 0, 0, 0, 1, 0]"
24,No. Then asked if there was a problem with the sangria .,"[0, 0, 0, 0, 1, 0]"
25,No. He stood there looking us up down then walked away .,"[0, 0, 0, 0, 1, 0]"
26,"We were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $ 2 was gone the people next to us said the bartender took it .","[0, 0, 0, 0, 1, 0]"
27,So rude .,"[0, 0, 0, 0, 0, 1]"
28,This was the worst dining experience I 've ever had .,"[0, 0, 0, 0, 1, 0]"
29,The only friendly staff member was the guy at the bar .,"[0, 1, 0, 0, 0, 0]"
30,"The man that was hosting promised to save a table for our party of 7 , then sat a party of 2 at the very table he was saving ( mean while there were boths open all around ) .","[0, 1, 0, 0, 1, 0]"
31,When we were finally seated our waitress came by twice-1 for our order and 2-for our check .,"[0, 1, 0, 0, 1, 0]"
32,"My turkey burger was not cooked at all , my friends salmon was completely raw .","[0, 0, 0, 1, 0, 0]"
33,Horrible food and Horrible service .,"[0, 1, 0, 1, 0, 0]"
34,I DO NOT RECOMMEND THE HEARTLAND BREWERY .,"[0, 0, 0, 0, 0, 1]"
35,ALWAYS full with tourists ( especially because of it 's close proximity to Rockefeller Cente r ) .,"[1, 0, 0, 0, 0, 0]"
36,But this place is a well-oiled machine so they know what they 're doing .,"[0, 0, 0, 0, 0, 1]"
37,Ive been here a bunch of times now and the service is always outstanding .,"[0, 1, 0, 0, 0, 0]"
38,The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city .,"[0, 0, 0, 1, 0, 0]"
39,This place is worth going even if only for their beer .,"[0, 0, 0, 1, 0, 0]"
40,The seasonal beers are fabulous ! ! Try the pumpkin ale in the fall ... it 's my favorite .,"[0, 0, 0, 1, 0, 0]"
41,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones .,"[1, 0, 0, 0, 0, 0]"
42,"No dress codes , no attitudes , plenty of comfort companionship , a great place to relax in an always busy Midtown .","[1, 0, 0, 0, 0, 0]"
43,"So much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers .","[0, 0, 0, 1, 0, 0]"
44,Heartland Brewery is a great way to start or finish your day .,"[0, 0, 0, 0, 0, 1]"
45,"David , Daytona Beach , FL","[0, 0, 0, 0, 0, 1]"
46,What a great place !,"[0, 0, 0, 0, 0, 1]"
47,Not the typical NYC gimmick theme restaurant .,"[1, 0, 0, 0, 0, 0]"
48,"A cool bar with great food , and tons of excellent beer .","[0, 0, 0, 1, 0, 0]"
49,And even with it 's Pub atmosphere they were great to my kids too !,"[1, 0, 0, 0, 0, 0]"
50,Loved it !,"[0, 0, 0, 0, 0, 1]"
51,"This is the perfect spot for meeting friends , having lunch , dinner , pre-theatre or after-theatre drinks !","[1, 0, 0, 0, 0, 1]"
52,( Always ask the bartender for the SEASONAL beer ! ! !,"[0, 0, 0, 1, 0, 0]"
53,Guaranteed to be a tasty experience ! ) Excellent spot for holiday get togethers with co-workers or friends that you have n't seen in a while .,"[1, 0, 0, 1, 0, 0]"
54,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED !,"[0, 0, 0, 0, 1, 0]"
55,All the people that I bring there go back on their own and bring THEIR friends !,"[0, 0, 0, 0, 1, 0]"
56,Go there once and oh yes ...you will go back ...you will ...,"[0, 0, 0, 0, 0, 1]"
57,My Girlfriend and I stumbled onto this hopping place the other night and had a great time !,"[0, 0, 0, 0, 1, 0]"
58,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country .,"[1, 0, 0, 0, 0, 0]"
59,"They tell me they are going to cover the garden in glass for the winter , so i'm looking forward to going there on a snowy night to enjoy it.Check this place out !","[0, 0, 0, 0, 0, 1]"
60,HIGHLY RECOMMENDED ! ! ! ! !,"[0, 0, 0, 0, 0, 1]"
61,I just read Mocaramel 's review and felt compelled to respond .,"[0, 0, 0, 0, 0, 1]"
62,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna .,"[0, 1, 0, 0, 0, 0]"
63,"Over the years the host , Vittorio , and his crew , have always treated me as family--although with all the business this not-so-little gem does , it amazing he 's even able to remember a consistent but not-so-frequent visitor .","[0, 1, 0, 0, 1, 0]"
64,"I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !","[1, 0, 0, 1, 0, 0]"
65,I lOVE THIS PLACE !,"[0, 0, 0, 0, 0, 1]"
66,Keep up the good work guys !,"[0, 0, 0, 0, 0, 1]"
67,"Very romantic fires - I 've literally spent hours at Lanterna , drinking wine from their extensive wine and enjoying the ambience .","[1, 0, 0, 1, 0, 0]"
68,Reasonable prices .,"[0, 0, 1, 0, 0, 0]"
69,HIGHLY RECOMMENDED for a first date .,"[0, 0, 0, 0, 0, 1]"
70,Try the chocolate mud cake ( warmed ) with 2 scoops of dulce de leche gelato .,"[0, 0, 0, 1, 0, 0]"
71,WOW .,"[0, 0, 0, 0, 0, 1]"
72,"Having hunted around for a quiet , romantic , yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot .","[0, 0, 0, 0, 1, 0]"
73,Quite simply it 's like stepping out of Manhattan and into a haven of tra nquility .,"[0, 0, 0, 0, 0, 1]"
74,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,"[0, 0, 1, 1, 0, 0]"
75,I will be going back and heartily recommend it !,"[0, 0, 0, 0, 0, 1]"
76,I absolutely Loved this place .,"[0, 0, 0, 0, 0, 1]"
77,"My friends spoke so much about it for months , I finally made the time to come down ear and dine in .","[0, 0, 0, 0, 1, 0]"
78,this is can became on e of the NY Italian Food fare institutions .,"[0, 0, 0, 0, 0, 1]"
79,I think that it is absolutely brilliant and well runned business operation .,"[0, 0, 0, 0, 0, 1]"
80,The wine list is also really nice .,"[0, 0, 0, 1, 0, 0]"
81,Ballato 's is consistently delicious authentic italian food .,"[0, 0, 0, 1, 0, 0]"
82,some of the best i have had in the city . the ambience is cozy and secluded with wonderful art on the walls .,"[1, 0, 0, 0, 0, 0]"
83,i love the pics of andy warhol when he used to frequent the place ( he painted the ballato 's sign in the window ) .,"[1, 0, 0, 0, 0, 0]"
84,"Emilio , the owner , is often sitting in the front table greeting guests as they come and go .","[0, 1, 0, 0, 0, 0]"
85,"Going to Ballato 's is like coming home and eating in my own kitchen , an absolute delight !","[0, 0, 0, 0, 1, 0]"
86,Yes . It is what it is let 's all scream loud and give credit to this Old fashion Italian restaurant ina suburbed area of houston street .If this place would be in midtown or somwhere fancy ...forget it ! ! would double it 's value .,"[0, 0, 0, 0, 0, 1]"
87,"I have n't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil .","[0, 0, 0, 1, 0, 0]"
88,"If anyones has doubt of not knowing enough about wines ,please check their wine list .","[0, 0, 0, 1, 0, 0]"
89,Covers all of the best area of Italy and many are the selections ...hops ..Lenny Kravitz just walked in ...well i know why is such a good place to eat and relax !,"[0, 0, 0, 1, 0, 1]"
90,Bravissimo ! !,"[0, 0, 0, 0, 0, 1]"
91,"I have known about this secret for the last 13 years , Emilio( the Godfather ) has continued to serve food and wine for the gods at mortal prices .","[0, 0, 1, 0, 0, 0]"
92,"If you go , try the marinara sauce , the mozzarella en Carozza is mmmmmmmm . .... everything is just delicious .","[0, 0, 0, 1, 0, 0]"
93,Check out the secret back room .,"[0, 0, 0, 0, 0, 1]"
94,Old school meets New world .,"[0, 0, 0, 0, 0, 1]"
95,I pray it stays open forever .,"[0, 0, 0, 0, 0, 1]"
96,Thank You Emilio .,"[0, 0, 0, 0, 0, 1]"
97,Ciao Bella,"[0, 0, 0, 0, 0, 1]"
98,The food there are sastifying .,"[0, 0, 0, 1, 0, 0]"
99,I often go there to eat with my family .,"[0, 0, 0, 0, 1, 0]"
100,Seating is ok even though sometimes there 's alot of people .,"[1, 0, 0, 0, 0, 0]"
101,The noodle and rices dishes taste great .,"[0, 0, 0, 1, 0, 0]"
102,"If you want some roast duck , pork or chicken on rice with ginger , try them out !","[0, 0, 0, 1, 0, 0]"
103,They are located in the middle of Chinatown !,"[0, 0, 0, 0, 0, 1]"
104,The service is ok but could be better .,"[0, 1, 0, 0, 0, 0]"
105,Big Wong gets big Ups for a fine establishment .,"[0, 0, 0, 0, 0, 1]"
106,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,"[1, 1, 0, 0, 0, 0]"
107,The food is prepared quickly and efficiently .,"[0, 0, 0, 1, 0, 0]"
108,"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .","[0, 0, 1, 0, 0, 0]"
109,The takeout is great too since they give high quality tupperware as well .,"[0, 1, 0, 0, 0, 0]"
110,This place is always very crowded and popular .,"[1, 0, 0, 0, 0, 0]"
111,"Obviously the Chinese translation of this place does not mean Big Wong , it actually means Great Prosperity .","[0, 0, 0, 0, 0, 1]"
112,The food here does a great service to the name ( Cantonese that is .. . ) .,"[0, 0, 0, 1, 0, 0]"
113,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork .,"[0, 0, 0, 1, 0, 0]"
114,This dish is my favorite and I always get it when I go there and never get tired of it .,"[0, 0, 0, 0, 1, 0]"
115,"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .","[0, 0, 0, 1, 0, 0]"
116,This place has the best Chinese style BBQ ribs in the city .,"[0, 0, 0, 1, 0, 0]"
117,I also recommend the rice dishes or the different varieties of congee ( rice porridge ) .,"[0, 0, 0, 1, 0, 0]"
118,It 's great to go for a quick lunch either alone or with a friend .,"[0, 0, 0, 0, 0, 1]"
119,It 's definately not a place to go if you want to impress someone .,"[1, 0, 0, 0, 0, 0]"
120,Quick and friendly service .,"[0, 1, 0, 0, 0, 0]"
121,This is one of the best comfort food places in the city .,"[0, 0, 0, 1, 0, 0]"
122,It 's somewhere you can eat and be happy .,"[0, 0, 0, 0, 0, 1]"
123,Went to Cafe Spice with 4 of my friends on a saturday night.We were greeted promptly by the waiter who was very nice and cordial.She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food .,"[0, 1, 0, 0, 1, 0]"
124,We were fast to order the appetizer platter since we were very hungry .,"[0, 0, 0, 0, 1, 0]"
125,The food looked very appetizing and delicious since it came on a variety of fancy plates .,"[0, 0, 0, 1, 0, 0]"
126,We ended our great experience by having Gulab Jamun ( dessert ) recommended by the waiter .,"[0, 0, 0, 1, 0, 0]"
127,I thanked my friend who recommended me this restaurant and will certainly recommend it to others .,"[0, 0, 0, 0, 0, 1]"
128,Went on a double date with friend and his girlfriend for a few drinks and appetizers .,"[0, 0, 0, 0, 1, 0]"
129,"We could n't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we 're taking too much time -- amazing , we just sat down .","[0, 1, 0, 0, 0, 0]"
130,The entire place and the treatment we received felt as a conveyor belt .,"[1, 1, 0, 0, 0, 0]"
131,"In terms of the food itself -- nothing special , we limited ourselves to several appetizers .","[0, 0, 0, 1, 0, 0]"
132,"Yet paired with such rude service , would never recommend for anyone interested in carrying any kind of conversation while there .","[0, 1, 0, 0, 0, 0]"
133,"If just to drop in , quickly stuff yourself and jet out -- to keep their turn-over .","[0, 0, 0, 0, 0, 1]"
134,Perhaps .,"[0, 0, 0, 0, 0, 1]"
135,"I 've been to at Cafe Spice probably 5-8 times , it is probably still the best Indian restaurant around Union Square .","[0, 0, 0, 0, 1, 0]"
136,"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok . Seating is always prompt , though the restaurant does fill up in the evening .","[0, 1, 0, 0, 0, 0]"
137,"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .","[0, 0, 0, 1, 0, 0]"
138,"As many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .","[0, 1, 0, 0, 0, 0]"
139,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .","[1, 0, 0, 0, 0, 0]"
140,This place is great .,"[0, 0, 0, 0, 0, 1]"
141,I had a huge group for my birthday and we were well taken care of .,"[0, 0, 0, 0, 1, 0]"
142,The waitress was very patient with us and the food is phenomenal !,"[0, 1, 0, 1, 0, 0]"
143,"Service was prompt , friendly and great .","[0, 1, 0, 0, 0, 0]"
144,Slightly on the pricey side but worth it !,"[0, 0, 1, 0, 0, 0]"
145,"The food here is rather good , but only if you like to wait for it .","[0, 1, 0, 1, 0, 0]"
146,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .","[0, 0, 0, 1, 0, 0]"
147,"The service varys from day to day - sometimes they 're very nice , and sometimes not .","[0, 1, 0, 0, 0, 0]"
148,"The kitchen however , is almost always slow .","[0, 1, 0, 0, 0, 0]"
149,"Also , specify if you like your food spicy - its rather bland if you do n't .","[0, 0, 0, 1, 0, 0]"
150,"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .","[1, 0, 0, 0, 0, 0]"
151,This restaurant used to be pretty decent .,"[0, 0, 0, 0, 0, 1]"
152,"Over time , the food quality has decreased substan tially , it is a lot less crowded than it used to , and the service must definitely be part of the reason .","[0, 1, 0, 1, 0, 0]"
153,"Everything , from the soft bread , soggy salad , and 50 minute wait time , with an incredibly rude service to deliver below average food .","[0, 1, 0, 1, 0, 0]"
154,I would not recommend this place to anyone .,"[0, 0, 0, 0, 0, 1]"
155,"Oh yes , and they lie on the phone , claiming they have seating in the garden , then of course the seats are not available .","[0, 1, 0, 0, 0, 0]"
156,I have been to Casimir over 5 times and I have always had a great time there .,"[0, 0, 0, 0, 1, 0]"
157,The food is great and reasonably priced .,"[0, 0, 1, 1, 0, 0]"
158,"I have tried to make reservations , but both times , the hostess did n't have my name .","[0, 0, 0, 0, 1, 0]"
159,"If the weather is nice , try to snag an outside table .","[1, 0, 0, 0, 0, 0]"
160,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .","[1, 1, 0, 0, 0, 0]"
161,"I 've been there a few times , and I usually end up sitting next to some pretty odd people .","[0, 0, 0, 0, 1, 0]"
162,"Odd for Ave B , not just odd , The place attracts an eclectic crowd to say the least .","[1, 0, 0, 0, 0, 0]"
163,"Aside from the bearded , courdoroy blazer professor type with the NYU student he 's sleeping with that week , you see a strange mix of hipsters , frat boys , Will Smith types who need to be told they are black , bitter cougars who cant understand why they arent married yet ....","[1, 0, 0, 0, 0, 0]"
164,Just an odd group .,"[0, 0, 0, 0, 0, 1]"
165,"Anyway , the food is good , the price is right and they have a decent wine list .","[0, 0, 1, 1, 0, 0]"
166,"So , if yo really do n't care who is sittingnext to you , which is about 2 inches away , I would say try it .","[0, 0, 0, 0, 0, 1]"
167,"Casimir is almost always packed , but I 've never had to wait more than 15 minutes for a table .","[1, 1, 0, 0, 0, 0]"
168,"Though you will undoubtedly be seated at a table with what seems like barely enough room ( no matter what the size of your party ) , the warm atomosphere is worth the cramped quarters - you 'll have fun and forgot about the tight spot you 're in .","[1, 0, 0, 0, 0, 0]"
169,"The waitstaff are all very busy , it 's not outstanding service , but I 've never been dealt with rudely .","[0, 1, 0, 0, 0, 0]"
170,Of course the reason its so packed is because the food is so delicious !,"[0, 0, 0, 1, 0, 0]"
171,"I 've had oysters , lamb , steak , and duck- all were well-prepared and tender .","[0, 0, 0, 1, 0, 0]"
172,The specials are usually quite good too .,"[0, 0, 0, 1, 0, 0]"
173,Great romantic place for a date ( try to get the corner booth table for a little privacy and to sit close ! ) .,"[1, 0, 0, 0, 0, 0]"
174,I found this restaurant to be one that truly values its patrons .,"[0, 0, 0, 0, 0, 1]"
175,Service and food is what any one would expect when spending that type of money .,"[0, 1, 0, 1, 0, 0]"
176,Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys .,"[0, 0, 0, 1, 0, 0]"
177,The tastes makes your mouth water for more .,"[0, 0, 0, 1, 0, 0]"
178,"Waitstaff is great , very attentive .","[0, 1, 0, 0, 0, 0]"
179,Wine list is not huge but def well selected .,"[0, 0, 0, 1, 0, 0]"
180,I recommend that you try this hidden spot which will surely blowup very soon,"[0, 0, 0, 0, 0, 1]"
181,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,"[0, 0, 0, 0, 1, 0]"
182,"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .","[0, 1, 0, 1, 0, 0]"
183,"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and rela xed .","[0, 1, 0, 0, 1, 0]"
184,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,"[0, 1, 0, 1, 0, 0]"
185,My wife and I were in NYC celebrating our 30th anniversary .,"[0, 0, 0, 0, 1, 0]"
186,We went to this restaurant based on prior internet comments .,"[0, 0, 0, 0, 1, 0]"
187,We were not disappointed .,"[0, 0, 0, 0, 0, 1]"
188,"The food was terrific and the service classy , attentive , without being overbearing .","[0, 1, 0, 1, 0, 0]"
189,Somewhat pricey but what the heck .,"[0, 0, 1, 0, 0, 0]"
190,I recommend to anyone who wants to dress up and impress the lady .,"[0, 0, 0, 0, 0, 1]"
191,Went with mommy ( the only person who could afford taking me here ) .,"[0, 0, 0, 0, 1, 0]"
192,We had champagne and caviar and felt like princesses !,"[0, 0, 0, 1, 0, 0]"
193,Great people watching as others do the same to you .,"[1, 0, 0, 0, 0, 0]"
194,Definitely a once a year treat that I look forward to around the holidays !,"[0, 0, 0, 0, 0, 1]"
195,I went there in late afternoon for some bite size food and refleshment with my date .,"[0, 0, 0, 0, 1, 0]"
196,The place was quiet and delightful .,"[1, 0, 0, 0, 0, 0]"
197,Service was good and food is wonderful .,"[0, 1, 0, 1, 0, 0]"
198,I did not try the caviar but I tried their salmon and crab salad ( they are all good ) It is definitely a good spot for snacks and chat .,"[0, 0, 0, 1, 0, 0]"
199,I visit New Green Bo when I have money or when I am broke .,"[0, 0, 1, 0, 0, 0]"
200,"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .","[0, 0, 0, 1, 0, 0]"
201,The food is so cheap and the waiters are nice .,"[0, 1, 1, 0, 0, 0]"
202,"Of course , it is crowded but who cares .","[1, 0, 0, 0, 0, 0]"
203,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York .,"[0, 0, 0, 1, 0, 0]"
204,One of the more authentic Shanghainese restaurants in the US definitely the best in Manhattan Chinatown .,"[0, 0, 0, 0, 0, 1]"
205,"Was reading other reviews and thought -- if all you order is chow fun then of course it 's greasy and awful ( and not even Shanghainese ) ... agreed , the ambience is lacking .","[1, 0, 0, 0, 0, 0]"
206,"But the traditional items -- yellow eel , eggplant , mock chicken , fried juicy buns , etc . ( which most tourists do n't order ) -- are prepared with traditional flavor , harboring a semi-sweet , juicy taste .","[0, 0, 0, 1, 0, 0]"
207,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out .,"[0, 0, 0, 0, 0, 1]"
208,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there .,"[0, 0, 0, 0, 1, 1]"
209,"Okay , so I never write but there does n't seem to fair balance of positive to negative reviews concerning Green Bo and it 's time to speak up - I live in Chinatown .","[0, 0, 0, 0, 0, 1]"
210,I live on the street this place is on .,"[0, 0, 0, 0, 1, 0]"
211,"I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","[1, 0, 0, 1, 0, 0]"
212,"And the soup bombs here , lovingly called Pork Dumplings with Soup ( ha ! ) are an experiance .","[0, 0, 0, 1, 0, 0]"
213,"Wonton dough filled with gently steamed and seasoned pork are common but add this amazing soup to the wonton , seal it and serve it steaming hot and the dumpling becomes new again ...this place is amazing for those dumplings alone but try the wine chicken and the scallion pancakes as well .","[0, 0, 0, 1, 0, 0]"
214,This restaurant was way overhyped .,"[0, 0, 0, 0, 0, 1]"
215,My chow fun and chow see was really bland and oily .,"[0, 0, 0, 1, 0, 0]"
216,Okay-i do n't mind the oily part ( cause most are cooked that way ) but it was way too bland .,"[0, 0, 0, 1, 0, 0]"
217,The scallion pancakes and fried dumplings were nothing out of the ordinary .,"[0, 0, 0, 1, 0, 0]"
218,I go and eat out at many different restaurants and this is one place you have go and try .,"[0, 0, 0, 0, 1, 1]"
219,The filet mignon dish was superb !,"[0, 0, 0, 1, 0, 0]"
220,I would defiantly come back here again as one of my top choices .,"[0, 0, 0, 0, 0, 1]"
221,It 's a small cute restaurant .,"[1, 0, 0, 0, 0, 0]"
222,"Raga 's is a romantic , cozy restaurant .","[1, 0, 0, 0, 0, 0]"
223,The exotic food is beautifully presented and is a delight in delicious combinations .,"[0, 0, 0, 1, 0, 0]"
224,It is also extremely well priced .,"[0, 0, 1, 0, 0, 0]"
225,The staff is incredibly helpful and attentive .,"[0, 1, 0, 0, 0, 0]"
226,The bar is very well stocked with interesting beers and well priced wines .,"[0, 0, 0, 1, 0, 0]"
227,This is one of my favorite restaurants and it is not to be missed .,"[0, 0, 0, 0, 0, 1]"
228,Your friends will thank you for introducing them to this gem !,"[0, 0, 0, 0, 0, 1]"
229,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible .,"[0, 0, 0, 1, 0, 0]"
230,Pair you food with the excellent beers on tap or their well priced wine list .,"[0, 0, 0, 1, 0, 0]"
231,We had a party in their private room and they made it truly memorable and were very helpful in the planning .,"[0, 1, 0, 0, 0, 0]"
232,"Off the beaten path , this jewel of a restaurant shines just one block away from the plethora of 6th street Indian restaurants .","[0, 0, 0, 0, 0, 1]"
233,Raga stands out with an interesting fusion of French and Indian cooking .,"[0, 0, 0, 1, 0, 0]"
234,We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections .,"[0, 1, 0, 0, 0, 0]"
235,"From beginning appetizers , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sor bet , we were delighted by the taste sensations .","[0, 0, 0, 1, 0, 0]"
236,I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch .,"[0, 0, 0, 1, 0, 0]"
237,I guess the way my friends and I described it was The French Colonies .,"[0, 0, 0, 0, 0, 1]"
238,The food is delicious and beautifully prepared along with the friendly and personable service .,"[0, 1, 0, 1, 0, 0]"
239,"Prices are not cheap , but not expensive but the meal is worth every penny .","[0, 0, 1, 0, 0, 0]"
240,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests .,"[0, 1, 0, 0, 1, 0]"
241,Be sure to reserve in advanc e !,"[0, 0, 0, 0, 0, 1]"
242,Been going here since it opened have seen the quality value decrease considerably .,"[0, 0, 0, 0, 1, 0]"
243,"The portions are now very small , the sauces are overly-ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .","[0, 1, 0, 1, 0, 0]"
244,"Recommended : appetizer calamari , beautifully deep-fried , but served with 2 awful sauces--ask for an alternative sauce .","[0, 0, 0, 1, 0, 0]"
245,Best dish is nori-wrapped tuna .,"[0, 0, 0, 1, 0, 0]"
246,"If you live outside the neighborhood , do n't bother !","[0, 0, 0, 0, 0, 1]"
247,I read the other review and have to say I had the opposite experience here last Sunday .,"[0, 0, 0, 0, 1, 0]"
248,I loved it and will be back soon .,"[0, 0, 0, 0, 1, 0]"
249,I went with 5 friends and we lingered at the table for a bit and did n't feel rushed at all even though there was a wait .,"[0, 0, 0, 0, 1, 0]"
250,Just do n't do it .,"[0, 0, 0, 0, 0, 1]"
251,Three strikes and this restaurant is out .,"[0, 0, 0, 0, 0, 1]"
252,Everything that happened was not even up to mediocre .,"[0, 0, 0, 0, 0, 1]"
253,"They did not have mayo nnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[0, 0, 0, 1, 0, 0]"
254,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water .,"[0, 1, 0, 0, 0, 0]"
255,I 've been here 3 times for lunch and it is one of my favorites in the city .,"[0, 0, 0, 0, 1, 0]"
256,The service is outstanding and my crab-cake eggs benedict could not have been better .,"[0, 1, 0, 1, 0, 0]"
257,My friend ordered some of their special sushi rolls which had excellent presentation and tasted great !,"[0, 0, 0, 1, 0, 0]"
258,"There was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .","[0, 0, 0, 0, 1, 0]"
259,This restaurant is such a great place .,"[0, 0, 0, 0, 0, 1]"
260,"I have been here a few times for dinner , once for brunch and twice for lunch .","[0, 0, 0, 0, 1, 0]"
261,I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way .,"[0, 0, 0, 1, 1, 0]"
262,The sushi is also great !,"[0, 0, 0, 1, 0, 0]"
263,The banana tower is an amazing dessert as well .,"[0, 0, 0, 1, 0, 0]"
264,This restaurant is a wonderful place to go many times and it is reasonably priced .,"[0, 0, 1, 0, 0, 1]"
265,"After a seafood craving , i checked citysearch and chose to go to Fish based on a previous review and the citysearch info .","[0, 0, 0, 0, 1, 0]"
266,"Friendly and informative staff , very attentive and prompt raw bar service .","[0, 1, 0, 0, 0, 0]"
