,text,label_category
25,"So, you can imagine how unhappy I am with this item.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
26,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
27,I did contact HP and share how unhappy I am.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"Well, they don't care a bunch.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
29,"But, at the same time they (the company) would not and could not do anything about my problem.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
30,I would  say if you want to buy one of these machines be careful.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
31,"And, if you are going to deal with HP be careful.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
32,"In my house, HP is a nasty word.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
33,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
34,The netbook is easier for me to take to bed and carry around with me.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
35,"The screen takes some getting use to, because it is smaller than the laptop.","[0, 1, 0, 0, 0, 0, 1, 0, 0]"
36,I have not have any problems.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
37,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
38,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
39,Its still going.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
40,It is in the best condition and has a really high quality.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
41,This is something i would deffinately reccomend to someone.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
42,You will not regret buying such a great thing like this!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
43,It can't get any better.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
44,"Waited on getting this computer, but it has been a great change.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
45,Ease of use is just one of the benefits I love about my Mac.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
46,This laptop meets every expectation and Windows 7 is great!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
47,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.","[1, 0, 1, 0, 0, 0, 1, 0, 0]"
48,It's even easy to hook up to other wireless networks.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
49,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
50,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
51,"Most everything is fine with this machine: speed, capacity, build.","[0, 1, 1, 0, 0, 1, 0, 1, 0]"
52,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
53,"Yes, I have it on the highest available setting.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,I bought it for really cheap also and it's AMAZING.,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
55,Easy to start up and does not overheat as much as other laptops.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,Recommended to people as their first laptop.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
57,"Plain and simple, it(laptop) runs great and loads fast.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
58,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.","[1, 0, 0, 1, 0, 0, 0, 0, 0]"
59,Love that it doesn't take up space like a regular computer.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,I'm already hooked on the sleek look and dependability that this laptop has shown.,"[0, 1, 0, 0, 0, 1, 0, 0, 0]"
61,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
62,The unibody design is edgy and durable.,"[0, 1, 0, 0, 0, 1, 0, 0, 0]"
63,The LED backlit display makes my pictures pop so much more.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
64,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,"[0, 1, 0, 0, 0, 0, 1, 0, 0]"
65,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,A key contributor that led me to Mac is the art aspect.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
67,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
68,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
69,It's more expensive but well worth it in the long run.,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
70,"Great product, very easy to use and great graphics.","[0, 0, 0, 0, 0, 0, 1, 1, 0]"
71,"One drawback, I wish the keys were backlit.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
72,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.","[0, 0, 0, 0, 1, 0, 0, 1, 0]"
73,It had most of the features and all of the power that I wanted to replace my desktop machine.,"[0, 1, 1, 0, 0, 0, 0, 0, 0]"
74,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,"[0, 1, 0, 1, 0, 0, 0, 0, 0]"
75,I'm very happy with this machine!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
76,"I love the size, keyboard, the functions.","[0, 1, 1, 0, 0, 0, 0, 1, 0]"
77,I don't really have a complaint.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
78,"It is easy to use, good quality and good price.","[0, 0, 0, 0, 1, 1, 1, 0, 0]"
79,Perfect trifecta!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
80,I would recommend this product.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
81,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
82,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
83,I purchased this laptop 9 months ago!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,The DVD burner broke after burning 3 DVD'd during that time!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
85,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
86,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,If this is an improvement in Customer Service then I would hate too see what it was before!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
88,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
89,Needless to say I told them No and have a nice day and hung up!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
90,I can guarantee this will be the last Dell I will ever purchase!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
91,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
92,I do not recommend this company or their products!!!!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
93,"So far, a great product.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
94,"High price tag, however.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
95,Still trying to learn how to use it.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
96,it is the worst computer dell ever made.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
97,it is hard to fix and makes it a hassle to own one.,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
98,breaks easily.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
99,only good thing is the graphics quality.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
100,There are so many wonderful features and benefits to the new MacBook!,"[0, 1, 0, 0, 0, 0, 0, 1, 0]"
101,The #1 reason that is always repeated.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,No Viruses!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
103,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
104,I am loyal to Apple.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
105,The Macbooks worth every penny.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,"They're easy, fun, powerful and will last a long time.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,I am very Happy!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
109,This just keeps having it's hard drive replaced!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
110,Acer won't replace the laptop.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
111,the manufacturer's warranty only covers replacement/repair of parts.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
112,This thing is a lemon.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
113,This MacBook is an outstanding product with great value.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
114,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"[0, 0, 0, 0, 0, 1, 1, 0, 0]"
115,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
116,It does run a little warm but that is a negligible concern.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
117,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
118,I have owned it only two months!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
119,I have had nothing but problems since the day I took it out of the box!,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
120,My first problem was with the pre-loaded Norton Firewall/Security program.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
121,It would not let me connect to my Wifi system where I lived.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
122,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
123,"Then just the other day, my left ""mouse"" button snapped!","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
124,"Being only 2 months old, I am not a happy camper!","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
125,Buyer Beware.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
126,"this one, in my opinion, might be a lemon!","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
127,It rarely works and when it does it's incredibly slow.,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
128,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
129,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
130,Like the price and operation.,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
131,"Some features arent friendly ( volume wheel, sound quality, etc.","[0, 0, 0, 0, 0, 1, 1, 0, 0]"
132,"But, for the cost this is a winner.","[0, 0, 0, 0, 1, 0, 0, 1, 0]"
133,I absolutely love my mac!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
134,I can't imagine my life without it anymore!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
135,It's perfect for everything and runs faster than an average pc!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
136,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
137,Apparently they are defective since they are not securely attached.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
138,I can barely use any usb devices because they will not stay connected properly.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
139,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
140,I think I might rather suffer for something that is simple to fix in my opinion.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
141,I bought this laptop Was the worst Laptop I've ever bought.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
142,I spent alot of money on this product and its been a nightmare.,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
143,And having to deal with the company has been a even worse nightmare.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
144,I sent it to them to fix in perfect condition but for what was wrong with it.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
145,They sent it back with a huge crack in it and it still didn't work.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
146,And that was the fourth time ive sent it to them to get fixed.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
147,Its been a year and am still waiting to see what there going to do about my laptop.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
148,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
149,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
150,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","[0, 0, 1, 0, 0, 0, 0, 1, 0]"
151,"A little pricey but it is well, well worth it.","[0, 0, 0, 0, 1, 0, 0, 1, 0]"
152,I've been a PC user and I just finally switched and I am never going back.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
153,It is amazing.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
154,In the first moth of owning this computer its hardrive failed which had to be replaced.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
155,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
156,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
157,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
158,Has a 5-6 hour battery life.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
159,Much faster than my old windows laptop that died on me.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
160,It is easy to use and lightweight.,"[0, 1, 0, 0, 0, 0, 1, 0, 0]"
161,Was very much worth the price i paid.,"[0, 0, 0, 0, 1, 0, 0, 1, 0]"
162,This netbook went bad on me after 3 days.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
163,There is a blank lighted screen when I start and that is all.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
164,I am also upset with CR for giving a good rating.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
165,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
166,"Three weeks after I bought the netbook, the screen quit working.","[0, 0, 1, 0, 0, 1, 0, 0, 0]"
167,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
168,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","[0, 0, 1, 0, 0, 1, 0, 0, 0]"
169,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,"[0, 1, 0, 1, 0, 0, 0, 1, 0]"
170,To my mind much more usable than the toy called an IPad.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
171,The So called laptop Runs to Slow and I hate it!,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
172,Do not  buy it!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
173,It is the worst laptop ever,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
174,"The image is great, and the soud is excelent.","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
175,i love ths notebook.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
176,I love the glass touchpad.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
177,Easy learning curve.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
178,Also the display is exceptional!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
179,I have loved this since i took it out of the box.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
180,The battery is really long.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
181,"the features are great, the only thing it needs is better speakers.","[0, 1, 0, 0, 0, 0, 0, 1, 0]"
182,Small and light weight.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
183,Speakers too small to be of any real use.,"[0, 1, 0, 0, 0, 0, 1, 0, 0]"
184,Keyboard good sized and wasy to use.,"[0, 1, 0, 0, 0, 0, 1, 0, 0]"
185,I like it!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
186,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,"[0, 1, 0, 1, 0, 0, 0, 1, 0]"
187,"Needless to say, not to happy with the product.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
188,This is a great machine!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
189,"The design is awesome, quality is unprecedented.","[0, 1, 0, 0, 0, 1, 0, 0, 0]"
190,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.","[0, 1, 1, 0, 1, 1, 0, 0, 0]"
191,It is by far one of the greatest investments I have ever made.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
192,Consumer Report recommended Toshiba.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
193,"Am very glad I bought it, great netbook, low price.","[0, 0, 0, 0, 1, 0, 0, 1, 0]"
194,Very good quality and well made.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
195,Great pick for portability and affordability.,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
196,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
197,The only problem is a lack of screen resolutions!,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
198,"If you need an affordable, entry-level laptop, this will fit the bill.","[0, 0, 0, 0, 1, 0, 0, 0, 1]"
199,"I dislike the weight and size, cubersome.","[0, 1, 0, 1, 0, 0, 0, 0, 0]"
200,I dislike the quality and the placement of the speakers.,"[0, 1, 0, 0, 0, 1, 0, 0, 0]"
201,"Overall, it's ok.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
202,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
203,This laptop is very large and barely fits in any carrying cases.,"[0, 1, 0, 1, 0, 0, 0, 0, 0]"
204,Peformance is good for the price.,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
205,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.","[0, 0, 0, 1, 0, 0, 0, 1, 0]"
206,Had to have this computer repaired twice in the first 5 months after purchasing it.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
207,Not good for a person who gets online daily.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
208,May be better for the occasional web surfer.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
209,"I just got this laptop for college, and so far I am very happy with it.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
210,I really wanted a Mac over a pc because I used a Mac in high school.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
211,It is so much easier to use,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
212,"Good keyboard, long battery life, largest hard drive and windows 7.","[0, 1, 1, 0, 0, 0, 0, 1, 0]"
213,And Toshiba is a quality supplier.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
214,I love this little one.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
215,The keyboard has a wonderful nature feel.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
216,I like it better than my big Dell Laptop.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
217,Seriously considering a larger laptop to replace the Dell,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
218,great battery life.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
219,Keyboard is reasonable size.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
220,Small screen somewhat limiting but great for travel.,"[0, 1, 0, 1, 0, 0, 0, 0, 0]"
221,Charger seems large for this class of computer.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
222,"Great Laptop for the price, works well with action pack games.","[0, 0, 0, 0, 1, 0, 0, 1, 1]"
223,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.","[0, 1, 0, 0, 0, 0, 1, 0, 0]"
224,but other then that I would give this product a 4 in hafe stars.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
225,Good for every day computing and web browsing.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
226,A great computer for light home use and business use.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
227,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
228,"Crisp screen, great battery life, and plenty of storage.","[0, 1, 1, 0, 0, 1, 0, 0, 0]"
229,Very happy.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
230,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
231,so we got a good deal on hsn for an ascer notebook and we bought it for him.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
232,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,"[0, 0, 0, 0, 0, 0, 1, 1, 0]"
233,now he mows yards so he can earn the money for the wireless internet.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
234,I would recomend this acer to parents and grandparents it can really help them in school.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
235,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
236,"IT WANT TAKE IT, IT KEEP SAYING ERROR.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
237,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
238,It's fast and has excellent battery life.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
239,The screen shows great colors.,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
240,I was surprised with the performance and quality of this HP Laptop.,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
241,the speed is fine.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
242,Laptop is to be used like a Netbook.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
243,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.","[1, 1, 0, 0, 0, 0, 0, 0, 0]"
244,Love it.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
245,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.","[0, 0, 1, 0, 0, 0, 0, 1, 0]"
246,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
247,This computer is the ideal college companion.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
248,It's software and speed enable it to do amazing things.,"[0, 0, 1, 0, 0, 0, 0, 1, 0]"
249,I am not happy at all with the product I purchased.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
250,"A cheaper price should not equal a ""cheap"" product.","[0, 0, 0, 0, 1, 1, 0, 0, 0]"
251,It was over rated!,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
252,The Toshiba laptop was a great purchase.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
253,"The price was very good, and the product is top quality.","[0, 0, 0, 0, 1, 1, 0, 0, 0]"
254,"The delivery was fast, and I would not hesitate to purchase this laptop again.","[0, 0, 0, 0, 0, 1, 0, 1, 0]"
255,"This is my second laptop,and it is head and shoulders above my first.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
256,It has easy to use features and all the speed and power I could ask for.,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
257,True quality at a great price!,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
258,I have used a computer at work but having your own personal laptop is AWSOME!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
259,I am enjoying it and the quality it provides is great!,"[0, 0, 0, 0, 0, 1, 0, 1, 0]"
